Request Type Category,Request Type,Menu Option,Click Action,Link URL or FAQ definition
Teaching and Learning,Accessibility & Captioning Support,What is Monsido and How do I access it? ,FAQ,https://umbc.atlassian.net/wiki/x/xVzVAQ
Teaching and Learning,Accessibility & Captioning Support,How do I use Webex Assistant (AI Captioning)?,FAQ,https://umbc.atlassian.net/wiki/x/imTVAQ
Teaching and Learning,Accessibility & Captioning Support,What Media Support Resources are available for hearing-impaired individuals?,FAQ,https://umbc.atlassian.net/wiki/x/TiLVAQ
Teaching and Learning,Accessibility & Captioning Support,Student Disability Services (SDS),Link,https://umbc.atlassian.net/wiki/x/jyXVAQ
Teaching and Learning,Accessibility & Captioning Support,Accessibility and Disability Services (ADS),Link,https://accessibility.umbc.edu/
Teaching and Learning,Audience Polling,What is Poll Everywhere and How do I use it?,FAQ,https://umbc.atlassian.net/wiki/x/-2rVAQ
Teaching and Learning,Audience Polling,How do I open a Slido Poll in Webex?,FAQ,https://umbc.atlassian.net/wiki/x/aGPVAQ
Teaching and Learning,Audience Polling,Poll Everywhere,Link,https://umbc.edu/go/pollev
Teaching and Learning,Badges / Microcredentials,What are the steps to obtain Microcredentials and badges? ,FAQ,https://badges.umbc.edu/
Teaching and Learning,Badges / Microcredentials,Digital Credentialing Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/x/ZG7VAQ
Teaching and Learning,Blackboard,Where can students find resources on Blackboard?,FAQ,https://umbc.atlassian.net/wiki/x/4APVAQ
Teaching and Learning,Blackboard,Why can't I see my Blackboard Course?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30736790/Why+can+t+I+see+my+Blackboard+course+as+a+student
Teaching and Learning,Blackboard,What is the process of test-taking with Respondus Lockdown Browser?,FAQ,https://umbc.atlassian.net/wiki/x/viHVAQ
Teaching and Learning,Blackboard,How do I Split or Merge a Blackboard Course?,FAQ,https://umbc.atlassian.net/wiki/x/uR3VAQ
Teaching and Learning,Blackboard,Blackboard Frequently Asked Questions (FAQs),Link,http://umbc.edu/go/blackboardfaqs
Teaching and Learning,Blackboard,Ultra Experience Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/x/1Q-VAQ
Teaching and Learning,Blackboard,Third Party Tools in Blackboard,Link,https://umbc.atlassian.net/wiki/x/hQnVAQ
Teaching and Learning,Blackboard,Instructional Technology Training Recordings,Link,https://umbc.hosted.panopto.com/Panopto/Pages/Sessions/List.aspx?folderID=74ac9d58-1779-44c1-92b7-ab6900dfe6e9
Teaching and Learning,Online Learning,What is the Quality Matters Self-Review Tool and How do I use it?,FAQ,https://umbc.atlassian.net/wiki/x/kyHVAQ
Teaching and Learning,Online Learning,Akindi Importer Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/x/7GjVAQ
Teaching and Learning,Online Learning,Class Collaborate Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/x/hAnVAQ
Teaching and Learning,Online Learning,CourseArc Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/x/PD7VAQ
Teaching and Learning,Online Learning,Panopto Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/x/AyLVAQ
Teaching and Learning,Online Learning,Respondus Lockdown Browser Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/x/dRrVAQ
Teaching and Learning,Online Learning,VoiceThread Frequently Asked Questions (FAQs),Link,https://my.umbc.edu/go/voicethread-faq
Teaching and Learning,Online Learning,Online Learning Tools,Link,https://doit.umbc.edu/itnm/tools/
Teaching and Learning,Video Production,New Media Studio,Link,https://newmediastudio.umbc.edu/
Teaching and Learning,Video & Lecture Capture,How do I give another course access to individual videos or folders in Panopto?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30757261/How+do+I+give+another+course+access+to+individual+videos+or+folder+in+Panopto
Teaching and Learning,Video & Lecture Capture,How do I share a link to a single Panopto video in an Ultra Course?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30755095/How+do+I+share+a+link+to+a+single+Panopto+video+in+an+Ultra+Course
Teaching and Learning,Video & Lecture Capture,How do I share a link to a folder of Panopto videos in an Ultra Course?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30759367/How+do+I+share+a+link+to+a+folder+of+Panopto+videos+in+an+Ultra+Course
Teaching and Learning,Video & Lecture Capture,Panopto Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/x/AyLVAQ
Teaching and Learning,Video & Lecture Capture,Panopto,Link,https://umbc.edu/go/panopto
Teaching and Learning,Audio Visual,How do I report issues or ask for loaner equipment with presentation technology?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30737675
Teaching and Learning,Audio Visual,Where is the AV Office located? What are the office hours?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30737678
Teaching and Learning,Audio Visual,AV Classroom Technology Operating Instructions,Link,https://umbc.atlassian.net/wiki/x/nx-VAQ
Tech and Connectivity Issues,Audio Visual,Audio Visual Services Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30737676/Audio+Visual+Services
Tech and Connectivity Issues,Audio Visual,How do I report issues or ask for loaner equipment with presentation technology?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30737675
Tech and Connectivity Issues,Audio Visual,Where is the AV Office located? What are the office hours?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30737678
Tech and Connectivity Issues,Audio Visual,AV Classroom Technology Operating Instructions,Link,https://umbc.atlassian.net/wiki/x/nx-VAQ
Tech and Connectivity Issues,Audio Visual,Audio Visual Services Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30737676/Audio+Visual+Services
Tech and Connectivity Issues,Computer Issue,"How do I delete cookies, cache, and temporary Internet files from my web browser?",FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30736442/How+do+I+delete+cookies+cache+and+temporary+Internet+files+from+my+web+browser
Tech and Connectivity Issues,Computer Issue,Does UMBC offer any institutional or educational discounts for purchasing computers?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30747684/Does+UMBC+offer+any+institutional+or+educational+discounts+for+purchasing+computers
Tech and Connectivity Issues,Computer Issue,Desktop Troubleshooting Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30736440/Desktop+Troubleshooting
Tech and Connectivity Issues,Computer Issue,Virtual Desktop Environment (VDE) Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30742030/Virtual+Desktop+Environment+VDE
Tech and Connectivity Issues,Computer Issue,Student Technology Resouces,Link,https://doit.umbc.edu/students/
Tech and Connectivity Issues,Computer Issue,Recommended Technology for Faculty & Staff,Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30736855/Recommended+Technology+for+Faculty+and+Staff
Tech and Connectivity Issues,Computer Issue,Software Downloads,Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30736744/Software
Tech and Connectivity Issues,Computer Issue,Computer Labs,Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30736424/Computer+Labs
Tech and Connectivity Issues,Network,How do I connect to campus wireless (Eduroam)?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30738370/How+do+I+connect+to+campus+wireless+Eduroam
Tech and Connectivity Issues,Network,How can I speed up my internet connection? ,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30756620/How+can+I+speed+up+my+internet+connection
Tech and Connectivity Issues,Network,How do I connect to the UMBC GlobalProtect VPN?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30754220/Getting+Connected+with+the+UMBC+GlobalProtect+VPN
Tech and Connectivity Issues,Network,How do I register my device for use with the Residential Wired Network at UMBC?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30738223/How+do+I+register+my+device+for+use+with+the+Residential+Wired+Network+at+UMBC
Tech and Connectivity Issues,Network,Residential Network Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30738224/Residential+Network
Tech and Connectivity Issues,Phone,How do I use my campus extension in Webex?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30756885/How+do+I+use+my+campus+extension+in+Webex
Tech and Connectivity Issues,Phone,"I'm getting a ""Phone Services Disconnected error in Webex. What should I do?",FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/186220565/I+m+getting+a+Phone+Services+Disconnected+error+in+Webex.+What+should+I+do
Tech and Connectivity Issues,Phone,On-Campus Phones Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30741975/On-Campus+Phones
Tech and Connectivity Issues,Phone,Software-Based Calling using Webex Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30761164/Software-Based+Calling+using+Webex
Tech and Connectivity Issues,Phone,Legacy Rolm Phone System,Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30741966/Legacy+Rolm+Phone+System
Web Development,FAQs,What are the UMBC FAQs?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30737072/About+the+FAQs
Web Development,FAQs,How do I request access to add content to or edit the FAQs?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30753395/How+do+I+request+access+to+add+content+to+or+edit+the+FAQs
Web Development,FAQs,How do I create a new FAQ article?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30739166/How+do+I+create+a+new+FAQ+article
Web Development,FAQs,How do I make a suggestion or correction for an FAQ?,FAQ,https://umbc.atlassian.net/wiki/x/zQrVAQ
Web Development,FAQs,About the FAQs (FAQs),Link,https://umbc.atlassian.net/wiki/x/sALVAQ
Web Development,Web Development,How do I request a site in sites.umbc.edu?,FAQ,https://umbc.atlassian.net/wiki/x/lAfVAQ
Web Development,Web Development,How do I request a Confluence wiki space?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30737591
Web Development,Web Development,How do I log in to edit my site in sites.umbc.edu?,FAQ,https://umbc.atlassian.net/wiki/x/hwfVAQ
Web Development,Web Development,How do I create and edit pages in sites.umbc.edu?,FAQ,https://umbc.atlassian.net/wiki/x/iQfVAQ
Web Development,Web Development,How do I add/remove administrators to my site in sites.umbc.edu?,FAQ,https://umbc.atlassian.net/wiki/x/kgfVAQ
Web Development,Web Development,Sites (WordPress) Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30738922/sites.umbc.edu
Web Development,Web Development,Confluence Wiki at UMBC Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30737588/Confluence+Wiki+at+UMBC
