Service Area,Request Type Category,Request Type,Description,Authenticated,"Select Action (Link, Embed, Custom)",Link/Embed - Redirect URL,Embed/Custom - Class Name,Tags Config File
Academic & Student Services,Library,Circulation & Media,"Circulation is in charge of helping you borrow materials. If you need to check out a book, our desk is the place to do it. You can also pick up reserves, retrieve ILL books, check out lockers or headphones, and pay fines. The Check Out Desk is located in the main corridor on the 1st floor.",Y,Link,https://library.umbc.edu/circulation.php,N/A,librarycirculationTags
Academic & Student Services,Library,Interlibrary Loan,The Interlibrary Loan Service allows patrons to request materials needed for their research that are not owned by UMBC.,Y,Link,https://umbc.illiad.oclc.org/illiad/logon.html,N/A,libraryInterlibraryloanTags
Academic & Student Services,Library,Library IT Support,"Although Interlibrary Loan gives you access to many more resources, it may take longer than other means of access. The average delivery time is 5-10 business days. Always start your research early for the best results. You may want to contact the Reference Desk for assistance in locating other in-house or online materials.",Y,Link,https://library.umbc.edu/lits/email.php,N/A,libraryitsupportTags
Academic & Student Services,Library,Library Resources,"The Albin O. Kuhn Library & Gallery promotes intellectual growth and creativity by developing high quality collections, facilitating access to information resources, and furthering innovative teaching and learning. In support of the University's mission, our Library is dedicated to diversity, social responsibility, and lifelong learning.",N,Link,https://library.umbc.edu/location,N/A,libraryTags
Academic & Student Services,Library,Reference,"Reference staff can help you navigate library resources so you can get your work done. We offer reference assistance (in person, email, chat, phone), subject consultations, in-class instruction, and workshops.",Y,Link,https://library.umbc.edu/email.php,N/A,libraryreferenceTags
Academic & Student Services,Library,Reserves,The AOK Library is now using Blackboard (Bb) to make course materials available through physical and electronic Course Reserves. Please log into Bb and click on the Library Reserves link under the Course Content or Course Materials section of your course to view the materials your instructor has placed on reserve for your class.,Y,Link,https://library.umbc.edu/reserves/,N/A,libraryreservesTags
Academic & Student Services,Library,Special Collections,"The Special Collections department collects materials of enduring historical and cultural value—housing, preserving, and making accessible materials that are original, rare, unique, fragile, and archival. Our collections and staff support UMBC’s research and educational mission and its dedication to cultural and ethnic diversity, social responsibility, and lifelong learning.

We offer on-site services in addition to remote support to all researchers. For assistance with research, accessing collection materials, or preparing instruction, please contact the Special Collections staff directly at speccoll@umbc.edu.",Y,Link,https://library.umbc.edu/specialcollections/,N/A,libraryspecialcollectionsTags
Academic & Student Services,Parking & Transportation,Parking,"UMBC Parking Services is committed to providing equitable parking infrastructure for all students, faculty, staff, and visitors through the use of innovative, sustainable, and customer-driven measures that support the university’s mission.",N,Link,https://parking.umbc.edu/request-help/,N/A,parkingTags
Academic & Student Services,Parking & Transportation,UMBC Transit,"UMBC Transit provides safe, reliable, responsive shuttle and charter bus services to meet the transportation needs of the UMBC community. Shuttle routes cover residential communities near campus, as well as shopping areas surrounding UMBC.",N,Link,https://transit.umbc.edu/,N/A,transitTags
Academic & Student Services,Service Learning,Shriver Center,"The Shriver Center addresses critical social challenges by bridging campus and community through engaged scholarship and applied learning. Through the work of The Shriver Center, UMBC has become a national leader in applied learning, community engagement, and community-based service delivery.",N,Link,https://shrivercenter.umbc.edu/,NA,shriverTags
Academic & Student Services,Student Records,Residency,In-state or out-of-state residency status will determine a student's tuition rate. Tuition rates for both statuses can be obtained from Student Business Services. Residency status is first established during the admissions process.,Y,Embed,https://registrar.umbc.edu/services/residency/residency-rt/,residencyModule,residencyTags
Academic & Student Services,Student Records,Student Records,"Students can declare or update their academic major, minor, and/or certificates with the Registrar's Office. Once declared or updated, students transcripts and degree audits will reflect the change, and allow students to be assigned to the appropriate academic advising resources.",Y,Embed,https://registrar.umbc.edu/RT/Records/   ,studentRecordsModule,studentRecordsTags
Academic & Student Services,Student Records,Veterans,The Registrar's Office and Veterans Services are here to help students who are using military education benefits understand how their benefits work towards funding their education. We process transactions between UMBC and the Department of Veteran Affairs.,Y,Embed,https://registrar.umbc.edu/RT/Veterans/,veteransModule,veteransTags
Academic & Student Services,Student Life,Academic Communities & Scholars Programs,UMBC offers a variety of innovative academic communities and mentorship programs aimed to help you define your future and suceed. ,N,Link,https://scholarships.umbc.edu/scholarsprograms/,N/A,scholarTags
Academic & Student Services,Student Life,Campus Life,"Get involved at UMBC! We have have over 270 student organizations including religious and ethnic clubs, groups for a myriad of hobbies and sports, career and professional organizations, service and volunteer-oriented groups, and more than 20 fraternity and sorority chapters in four councils. Involvement Fest takes place at the beginning of each semester and is a great way to get to know some of the organizations you may be interested in joining. In addition, Off-Campus Student Services hosts events specifically for commuter, transfer, and veteran students. The Center for Democracy and Civic Life offers events, workshops, and resources to help create healthy communities and tackle challenges together.",N,Link,https://studentaffairs.umbc.edu/student-experience/campus-engagement/,N/A,campuslifeTags
Academic & Student Services,Student Life,Careers & Internships,"The Career Center, within the Division of Student Affairs, aims to empower all students and graduates to create their own success stories. We work with students at every academic level, from first-year freshmen to graduate students. Our services include career advising and counseling, networking events, on-campus recruiting, on-campus interviews, career and professional skills education, and applied learning opportunities (internships, co-ops, and research).",Y,Link,https://careers.umbc.edu/aboutus/contact/,N/A,careersTags
Academic & Student Services,Student Life,Health,"Retriever Integrated Health (RIH) is committed to providing the UMBC community with high-quality services, support, and resources. RIH is an interdisciplinary team that includes our administrative staff members and a variety of healthcare professionals, representing disciplines of acupuncture, dietetics, health education, massage, nursing, medicine, psychiatry, psychology, counseling, and social work. RIH can be reached at 410-455-2542 during regular hours. If you are experiencing an emergency that requires an immediate response and you are on campus, please call UMBC Police at 410-455-5555. If you are off-campus please call 911, or go to the nearest hospital emergency room. If you have health concerns outside of regular business hours (8.30 a.m. – 4.30 p.m. Monday – Friday, summer hours) and wish to speak with someone from UMBC’s After-Hours Support Line, please call 410-455-3230.",N,Link,https://health.umbc.edu/,N/A,healthTags
Academic & Student Services,Student Life,Inclusion & Civil Engagement ,"UMBC’s Division of Student Affairs is committed to fostering an inclusive and welcoming environment for all members of the campus community. They value safety, diversity of thought, background and ability, social responsibility, lifelong learning, equity, and civic engagement.",N,Link,https://studentaffairs.umbc.edu/student-experience/inclusion-civic-engagement/,N/A,inclusionTags
Academic & Student Services,Student Life,Off-Campus Student Services,"The Off-Campus Student Services (OCSS) at UMBC offers a range of services, programs, support, and more to help off-campus students thrive. OCSS serves members of the commuter, transfer, adult learner, and veteran communities. They provide information about the MTA bus program, off-campus living options, and overall adjustment resources to campus. OCSS also offers a housing listing service and roommate finder at no charge for the UMBC campus community. If you are an off-campus student, OCSS can help you feel a sense of belonging and be prepared for academic and personal success at UMBC and beyond. They can assist you in finding ways to connect to on and off-campus resources, meet new people, and obtain information about their programs. OCSS staff is available in-person and remotely via WebEx for video meetings by appointment. For more information, please visit the OCSS website.",N,Link,https://ocss.umbc.edu/,N/A,ocssTags
Academic & Student Services,Student Life,Recreation,"UMBC Recreation promotes health and well-being within our diverse community by offering a variety of facilities, programs, and equipment while welcoming and inspiring inquisitive minds. They provide a holistic environment through Fitness & Wellness, Club Sports, Intramurals, Physical Education, and Aquatics to foster a balanced and healthy lifestyle. The UMBC Wellness Initiative (WIN) is committed to the health and well-being of the campus community and encourages faculty and staff to explore the various resources available.",N,Link,https://recreation.umbc.edu/,N/A,recreationTags
Academic & Student Services,Student Life,Residential Life,"Residential Life (RL) is responsible for operating and maintaining the residential facilities as well as coordinating programs and services for approximately 4,000 students who live on campus. UMBC’s Residential Life program not only provides living environments which are clean, secure, and convenient to classes, but it also provides you with growth and development opportunities.",Y,Link,https://reslife.umbc.edu/contact-us/,N/A,reslifeTags
Academic & Student Services,Other,General Support,"If none of the above categories describe your issue, choose this option.  UMBC's Student Support Team will review your request and direct your ticket to the correct support group.",Y,Custom,N/A,genSupportModule,genSupportTags
Administrative Services,Campus Life,Campus Card,"Campus Card and Mail Services (CCMS) provides Campus Card ID, Meal Fund, Meal Plan purchases, US Mail & Notary, and Vending support to the campus community.",Y,Embed,https://campuscard.umbc.edu/general-inquiries/,N/A,campusCardTags
Administrative Services,Campus Life,University Communications & Marketing,"UMBC’s communications and marketing teams support the University’s mission and strategic priorities in a variety of ways, including telling the UMBC story through brand, content creation, and design. UMBC’s Marketing & Creative Studio is a collaboration between University Communications and Marketing’s Creative Services, Digital Strategy, Marketing, Photography, and Video teams. The group works in partnership with select clients across campus to clarify needs and develop design and marketing strategies anchored by the mission of UMBC that meet their goals and objectives. Please use the form links below to begin a project with the group.",N,Link,https://ucm.umbc.edu/,N/A,ucmTags
Administrative Services,Campus Life,Commonvision,"UMBC's Design and Print Center, known as commonvision, provides services including specialty printing, copying, scanning, finishing, design services, and animations. Contact commonvision to request services.",N,Link,https://commonvision.umbc.edu/,N/A,commonvisionTags
Administrative Services,Campus Life,Meal Plans,UMBC provides faculty and staff meal plans for on-campus dining destinations. Some plans are available for payroll deduction and all can be purchased with a credit card.,Y,Embed,https://campuscard.umbc.edu/support/purchase-a-plan/,N/A,campusCardTags
Administrative Services,Campus Life,Events & Conference Services (ECS),"Whether you’re planning a simple meeting or a large-scale event, we can help make your vision a reality. Event & Conference Services is UMBC’s full-service event planning support team, and a one-stop-shop for scheduling event spaces and resources on the UMBC campus. We are dedicated to delivering high-quality event services and professional customer service to our clients.",N,Link,https://eventservices.umbc.edu/,N/A,ecsTags
Administrative Services,Facilities & Operations,Facilities,"Our mission is to provide excellence in planning, design, construction, operations and maintenance of UMBC’s facilities, grounds and utilities. In addition, we are committed to superior customer service in all we do, strive to be customer-focused, as well as effective stewards of the university’s limited resources.",Y,Link,https://umbc.assetworks.cloud/ready/,N/A,fmTags
Administrative Services,Financial Services & Accounting,Business Services,"Business Services Department of University of Maryland, Baltimore County oversees the processing of payments to vendors that do not involve pcard, expense reimbursements, travel, working fund and petty cash.",Y,Link,https://businessservices.umbc.edu/employee-help/,N/A,billingTags
Administrative Services,Financial Services & Accounting,General Accounting,"Financial Services Department at University of Maryland, Baltimore County oversees the Accounting and Financial Reporting, Accounts Receivable, Accounts Payable, Budget and Resource Analysis, Cash Management, Plant Accounting and Inventory, Debt Management, Contracts and Grants, Commitment Accounting, Financial System, and Student Accounts and Payments.",Y,Link,https://financialservices.umbc.edu/home/fsa-help/,N/A,fsaTags
Administrative Services,Financial Services & Accounting,Inventory Management,"Plant Accounting oversees inventory, debt management, and all aspects of capital projects.",N,Link,https://financialservices.umbc.edu/plant-accounting/,,inventoryTags
Administrative Services,Financial Services & Accounting,Travel System,"The UMBC Travel System is an online, integrated system that is used to facilitate the travel processes at UMBC. It supports published policies and procedures with an automated method to obtain authorization prior to travel (Pre-Approval) and submit travel related expenses for reimbursement from the State of Maryland when travel is complete.",Y,Link,https://businessservices.umbc.edu/travel/travel-inquiry/,N/A,travelTags
Administrative Services,Health & Safety,Discrimination & Harassment Reporting,"The Office of Equity and Civil Rights (ECR) is responsible for managing UMBC’s efforts related to Title IX as well as other civil rights issues, including discrimination, harassment, hate and bias. Use this form to report alleged conduct related to sexual misconduct, discrimination, harassment, hate, or bias on the basis of race, creed, color, religion, sex, gender, pregnancy, ancestry, age, gender identity or expression, national origin, veterans status, marital status, sexual orientation, physical or mental disability, or genetic information.",N,Link,https://umbc-advocate.symplicity.com/titleix_report,N/A,ecrTags
Administrative Services,Health & Safety,Health,"Retriever Integrated Health (RIH) is committed to providing the UMBC community with high-quality services, support, and resources. RIH is an interdisciplinary team that includes our administrative staff members and a variety of healthcare professionals, representing disciplines of acupuncture, dietetics, health education, massage, nursing, medicine, psychiatry, psychology, counseling, and social work. RIH can be reached at 410-455-2542 during regular hours. If you are experiencing an emergency that requires an immediate response and you are on campus, please call UMBC Police at 410-455-5555. If you are off-campus please call 911, or go to the nearest hospital emergency room. If you have health concerns outside of regular business hours (8.30 a.m. – 4.30 p.m. Monday – Friday, summer hours) and wish to speak with someone from UMBC’s After-Hours Support Line, please call 410-455-3230.",N,Link,https://health.umbc.edu/,N/A,healthTags
Administrative Services,Health & Safety,Recreation,"UMBC Recreation promotes health and well-being within our diverse community by offering a variety of facilities, programs, and equipment while welcoming and inspiring inquisitive minds. They provide a holistic environment through Fitness & Wellness, Club Sports, Intramurals, Physical Education, and Aquatics to foster a balanced and healthy lifestyle. The UMBC Wellness Initiative (WIN) is committed to the health and well-being of the campus community and encourages faculty and staff to explore the various resources available.",N,Link,https://recreation.umbc.edu/,N/A,recreationTags
Administrative Services,Health & Safety,Work Related Injury or Illness,All work related injuries should be addressed as soon as possible. Use the guidance at the linked Request Help page to properly report and seek treatment for your injury.,N,Link,https://safety.umbc.edu/work-related-injury-or-illness/,N/A,eshTags
Administrative Services,Human Resources and Strategic Talent Management,Human Resources,"The Department of Human Resources and Strategic Talent Management is the campus resource center for providing professional services and information in the areas of employment, benefits, compensation, and classification, training and development, payroll, employee relations, policy, administration, and human resources data management and reporting.",Y,Link,https://hr.umbc.edu/support/,N/A,hrstmTags
Administrative Services,Parking & Transportation,Parking,"UMBC Parking Services is committed to providing equitable parking infrastructure for all students, faculty, staff, and visitors through the use of innovative, sustainable, and customer-driven measures that support the university’s mission.",N,Link,https://parking.umbc.edu/request-help/,N/A,parkingTags
Administrative Services,Parking & Transportation,UMBC Transit,"UMBC Transit provides safe, reliable, responsive shuttle and charter bus services to meet the transportation needs of the UMBC community. Shuttle routes cover residential communities near campus, as well as shopping areas surrounding UMBC.",N,Link,https://transit.umbc.edu/,N/A,transitTags
Administrative Services,Procurement and Strategic Sourcing,Procurement,"In support of UMBC’s mission, this department procures goods and services using best value practices while working collaboratively to meet the needs of our customers. The office ensures the University’s procurements are conducted in a competitive, fair and open environment and in full compliance with applicable policies, laws, and regulations. We identify opportunities to establish contracts that capitalize on the University’s buying power and work closely with the institution’s community to ensure contract compliance.",N,Link,https://procurement.umbc.edu/contact-us/,N/A,procurementTags
Administrative Services,Research & Creative Achievement,Office of Research & Creative Achievement (ORCA),"The Office of Research and Creative Achievement (ORCA) serves as an advocate for UMBC’s research and creative achievement community, ensures access to key research infrastructure, and supports our faculty, staff, and students in their pursuit of research, scholarship, and creative achievement across all levels.",N,Link,https://research.umbc.edu/,N/A,orcaTags
Administrative Services,Research & Creative Achievement,Office of Research Development (ORD),"The Office of Research Development (ORD) serves faculty, students and staff by expanding the opportunities they have to engage in new scholarly activity. To this end, ORD provides: Limited Submission Process, Seminars and Workshops, Extramural Relationship Building, Large and Complex Proposal Efforts, Locating Extramural Support Opportunities, Internal Funding Opportunities, Core Instrumentation, and Research Centers.",N,Link,https://research.umbc.edu/office-of-research-development/,N/A,ordTags
Administrative Services,Research & Creative Achievement,Office of Sponsored Programs (OSP),"The Office of Sponsored Programs (OSP) is institutionally responsible for all pre-award and non-financial post-award functions, including proposal submissions, the negotiation and acceptance of all sponsored agreements on behalf of UMBC, award modifications, subrecipient monitoring and non-financial closeout of awards.  OSP works with the unit administrators to provide assistance to faculty/staff with proposal preparation, applicable sponsor guidelines, as well as sponsored projects training, education and communication. OSP works closely with the Office of Contract and Grant Accounting (OCGA) in managing all extramural awards and campus outreach initiatives for sponsored projects.",N,Link,https://research.umbc.edu/office-of-sponsored-programs/,N/A,ospTags
Administrative Services,Research & Creative Achievement,Office of Research Protections and Compliance (ORPC),"The Office of Research Protections and Compliance (ORPC) provides a centralized resource to ensure UMBC conducts its research activities in a manner consistent with federal, state and institutional regulatory requirements.",N,Link,https://research.umbc.edu/office-of-research-protections-and-compliance/,N/A,orpcTags
Administrative Services,Research & Creative Achievement,Office of Technology Development (OTD),"The OTD assists the UMBC community in all phases of intellectual property protection and commercialization, including: evaluating disclosed inventions for patent ability and market potential; filing patent applications, copyright and trademark registrations; reviewing and negotiating material transfer agreements and non-disclosure agreements related to UMBC technologies; negotiating technology licenses; license monitoring and revenue distribution, and assisting entrepreneurial faculty in new company formation.",N,Link,https://research.umbc.edu/office-of-technology-development/,N/A,otdTags
Administrative Services,Research & Creative Achievement,Research Administrative Systems (RAS),,N,Link,https://research.umbc.edu/kuali-research-at-umbc/,N/A,rasTags
Administrative Services,Shared Services,AAOU Shared Service Center,"The mission of the Academic Affairs Other Units (AAOU) Shared Services Center is to provide “administrative excellence” and support department faculty, staff, and student employees as we strive to connect innovative teaching and learning, research across disciplines, and civic engagement.",Y,Link,https://aaoussc.umbc.edu/aaou-rt-tickets/,N/A,aaousscTags
Administrative Services,Shared Services,CAHSS Shared Service Center,"The central functions of the Office of the Dean of Arts, Humanities, and Social Sciences include oversight and support for the College in the areas of faculty affairs, academic programs and instruction, planning and budget, administration, research, K-16 initiatives, and external relations.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/cahss/CAHSS-Support.php,N/A,cahsssscTags
Administrative Services,Shared Services,CAHSS - CARAT Support,"The Creative Achievement and Research Administration Team (CARAT) assists CAHSS faculty, departments, and centers in all stages of the funding process, from identifying funders and developing proposals, to administering awards and reporting to sponsors. ",Y,Link,https://carat.umbc.edu/request-assistance/,N/A,caratTags
Administrative Services,Shared Services,CNMS Business Central,"The College of Natural and Mathematical Sciences Business Central (CNMS BC), the shared services center serving the college, is housed in the Dean’s Office. CNMS BC provides administrative support to the college’s departments for payroll, hiring and procurement*. * purchases that are not p-card eligible, greater than or equal to $5,000, sub-awards, and services",Y,Link,https://cnms.umbc.edu/shared-services/cnms-bc-request/,N/A,cnmssscTags
Administrative Services,Shared Services,COEIT Shared Service Center,"The COEIT Shared Services Center strives to provide seamless support to our faculty, staff, and students in COEIT and DoIT. Each department is assigned to an individual team member as the first point of contact and serves as a liaison between you and other UMBC offices such as HR, Financial Services, Procurement, OSP and/or external counterparts.",Y,Link,https://services-center.coeit.umbc.edu/requests/,N/A,coeitsscTags
Administrative Services,Shared Services,DPS Business Center,"The Division of Professional Studies (DPS) is a partnership-based organization within UMBC’s Division of Academic Affairs. Through creative collaboration, the DPS staff team-up with faculty, staff, students, and external stakeholders to generate future-focused responses to the evolving needs of our community.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/dps/DPS-Support.php,N/A,dpsTags
Administrative Services,Shared Services,Enrollment Management Service Center,The Enrollment Management Service Center assists all members of Enrollment Management with their personnel and HR related questions and requests. There is also the option to request assistance via a Request Ticket or quick links for more expedited resolution.,Y,Link,https://emservices.umbc.edu/embusserv/,N/A,emgtTags
Administrative Services,Shared Services,Office of Earth & Space Research Administration (ESRA),The Office of Earth & Space Research Administration (ESRA) serves as a centralized shared resource to support UMBC’s Collaborative Research Centers with NASA Goddard Space Flight Center (GSFC) with administrative pre-award and post-award support.,Y,Link,https://research.umbc.edu/esra/,N/A,esraTags
Administrative Services,Shared Services,OCAM Business Services,The Office of Center Administration and Management (OCAM) serves as a centralized shared resource to support the following UMBC Research Centers with administrative pre-award and post award support for their externally funded activities.,Y,Link,https://research.umbc.edu/ocam-bsc/,N/A,ocamTags
Administrative Services,Shared Services,Student Affairs Business Services Center,"The Student Affairs Business Services Center (SABSC) handles all payroll, purchasing, and other business affairs related to the Division of Student Affairs (DoSA)",Y,Link,https://rtforms.umbc.edu/rt_authenticated/dosa/bsc.php,N/A,sabscTags
Administrative Services,Shared Services,Shriver Center Business Services,"Business Services supports The Shriver Center administratively, fiscally and by overseeing the technological needs of the Center.",Y,Link,https://shriverit.umbc.edu/support/,N/A,shriverbsTags
Administrative Services,Other,General Support,"If none of the above categories describe your issue, choose this option.  UMBC's Student Support Team will review your request and direct your ticket to the correct support group.",Y,Custom,N/A,genSupportModule,genSupportTags
Computing & Technology,Accounts,Account & Password,"Get help creating your myUMBC account, or change your account's password or other information.",N,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Account%20%26%20Password,N/A,accountpasswordTags
Computing & Technology,Administration and Business,DocuSign,Get help with e-Signatures or report issues using the DocuSign platform.,Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=DocuSign,N/A,docusignTags
Computing & Technology,Administration and Business,ImageNow,"Get help with issues related to ImageNow/WebNow/Experience Services, UMBC's solution for centralized document imaging and management.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=ImageNow,N/A,imagenowTags
